"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Navigate","Open Type Hierarchy","F4","Editing PHP source"
"Script Source","Toggle Comment","Ctrl+7","Editing Script Source"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","Editing Script Source"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing JavaScript Source"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","JavaScript View"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Terminal view commands","Terminal view insert","Alt+V","Terminal Typing Connected"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Script Source","Format","Ctrl+Shift+F","Editing Script Source"
"Script Source","Add Javadoc Comment","Alt+Shift+J","Editing Script Source"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Edit","Context Information","Alt+?","In Windows"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"YEdit","Format","Ctrl+Shift+F","YEdit editor context"
"Window","Activate Editor","F12","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Navigate","Next Page","Ctrl+F5","In Faces Config Editor"
"Script Source","Correct &Indentation","Ctrl+I","Editing Script Source"
"Database Tools","Goto Matching Token","Ctrl+Shift+P","Editing SQL"
"Window","Show System Menu","Alt+-","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Navigate","Backward History","Alt+Left","In Windows"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Window","Next Editor","Ctrl+F6","In Windows"
"Terminal view commands","Terminal view insert","Alt+T","Terminal Typing Connected"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Database Tools","Run","Ctrl+Alt+R","Editing SQL"
"Navigate","Open Type","Ctrl+Shift+T","Editing PHP source"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Database Tools","Execute Selected Text","Alt+X","Editing SQL"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Refactor - PHP","Extract Variable","Alt+Shift+M","Editing PHP source"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Refactor - PHP","Extract Variable","Alt+Shift+L","DLTK View"
"Source","Show Source Quick Menu","Ctrl+Alt+S","DLTK View"
"Edit","Quick Fix","Alt+Enter","In Dialogs and Windows"
"Run/Debug","Inspect","Ctrl+Shift+N","Editing PHP source"
"SQL Results View","Remove Result","Ctrl+Delete","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing JavaScript Source"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Database Tools","Execute Current Text","Alt+S","Editing SQL"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"Run/Debug","Display","Ctrl+Shift+D","Debugging Script"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing JavaScript Source"
"Navigate","Opens a method in a PHP editor","Ctrl+Shift+M","DLTK View"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Source","Format","Ctrl+Shift+F","Editing JavaScript Source"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Edit","Generate Element Comment ","Alt+Shift+J","Editing PHP source"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Terminal view commands","Terminal view insert","Alt+C","Terminal Typing Connected"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing JavaScript Source"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Web Page Editor Layout","Vertical Layout","Ctrl+Shift+F9","Using Web Page Editor"
"Views","Show View ()","Alt+Shift+Q, D","In Windows"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Refactor - JavaScript","Change Function Signature","Alt+Shift+C","JavaScript View"
"Source","Add Import","Ctrl+Shift+M","Editing JavaScript Source"
"Window","Toggle Full Screen","Alt+F11","In Windows"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source"
"Source","Show Refactor Quick Menu","Ctrl+Alt+T","DLTK View"
"Refactor - DLTK","Show Refactor Quick Menu","Alt+Shift+T","DLTK View"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing JavaScript Source"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"File","Close","Ctrl+F4","In Windows"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Edit","Add Im&port","Ctrl+Shift+M","Editing JSP Source"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"File","Close","Ctrl+W","In Windows"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Script Source"
"Search","References in Workspace","Ctrl+Shift+G","JavaScript View"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing JavaScript Source"
"Run/Debug","Debug XSLT Transformation","Alt+Shift+D, X","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing PHP source"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"ASA 9.x table schema editor","Paste","Alt+V","In Windows"
"Edit","Create Object Operator","Ctrl+.","Editing PHP source"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Refactor - DLTK","Rename - Refactoring ","Alt+Shift+R","DLTK View"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Refactor - JavaScript","Inline","Alt+Shift+I","JavaScript View"
"Refactor - PHP","Extract Variable","Alt+Shift+L","Editing PHP source"
"Text Editing","Zoom In","Ctrl++","Editing Text"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Navigate","Open Type Hierarchy","F4","Editing Script Source"
"Edit","Toggle Word Wrap","Alt+Shift+Y","Editing Text"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Alt+Shift+Up","In Tasks View"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"Terminal view commands","Terminal view insert","Alt+H","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","Alt+G","Terminal Typing Connected"
"Edit","Context Information","Alt+Shift+?","In Windows"
"Text Editing","Line End","End","Editing Text"
"Text Editing","Line Start","Home","Editing Text"
"Search","References in Workspace","Ctrl+Shift+G","Editing Script Source"
"Window","Quick Access","Ctrl+3","In Windows"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor"
"File","New","Ctrl+N","DLTK View"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Control in Focus"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Source","Mark Occurrences","Alt+Shift+O","Editing PHP source"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Navigate","Quick Outline","Ctrl+O","Editing Script Source"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Navigate","Opens a method in a PHP editor","Ctrl+Shift+M","Editing PHP source"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Navigate","Next Page","Alt+F7","In Windows"
"File","Print","Ctrl+P","In Windows"
"Refactor - PHP","Extract Variable","Alt+Shift+M","DLTK View"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Navigate","Open Selection","F3","Editing PHP source"
"Run/Debug","Run Maven Build","Alt+\","In Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"SQL Results View","Remove All Visible Results","Shift+Delete","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Edit","Toggle Comment","Ctrl+/","Editing PHP source"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Edit","Find Next","Ctrl+K","Editing Text"
"Search","References in Workspace","Ctrl+Shift+G","Editing PHP source"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Views","JavaScript Script Explorer","Alt+Shift+Q, P","JavaScript View"
"Run/Debug","Step Over","F6","Debugging"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing PHP source"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Script Source"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Focused UI","Focus on Active Task","Alt+Shift+H","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Terminal view commands","Terminal view insert","Alt+P","Terminal Typing Connected"
"StartExplorer","Open Files With Default Application","Ctrl+Alt+A","In Windows"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Navigate","Open Type","Ctrl+Shift+T","DLTK View"
"Edit","Format","Ctrl+Shift+F","Editing PHP source"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Views","Documentation","Alt+Shift+Q, J","JavaScript View"
"Text Editing","Zoom Out","Ctrl+-","Editing Text"
"Run/Debug","Inspect","Ctrl+Shift+I","Chromium Debug"
"Terminal view commands","Terminal view insert","Alt+N","Terminal Typing Connected"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Window","Update Project","Alt+F5","In Windows"
"Database Tools","Execute Selected Text As One Statement","Alt+C","Editing SQL"
"Terminal view commands","Terminal view insert","Alt+W","Terminal Typing Connected"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Refactor - DLTK","Rename - Refactoring ","Alt+Shift+R","Editing Script Source"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"File","Refresh","F5","In Windows"
"Views","JavaScript Declaration","Alt+Shift+Q, D","JavaScript View"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Run/Debug","Debug CLI Application","Alt+Shift+D, H","In Windows"
"Terminal view commands","Paste","Ctrl+Shift+V","Terminal Control in Focus"
"Window","Next View","Ctrl+F7","In Windows"
"Edit","Content Assist","Alt+/","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Run/Debug","Run on Server","Alt+Shift+X, R","In Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing PHP source"
"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Run/Debug","Debug on Server","Alt+Shift+D, R","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Script Source"
"Project","Build All","Ctrl+B","In Windows"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Refactor - DLTK","Show Refactor Quick Menu","Alt+Shift+T","Editing Script Source"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing JavaScript Source"
"Window","Previous Editor","Ctrl+Shift+Tab","In Windows"
"Edit","Toggle Comment","Ctrl+/","Editing SQL"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"View","Zoom In","Ctrl+=","In Windows"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Git","Pull...","Alt+U","In Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing PHP source"
"Source","Show Source Quick Menu","Alt+Shift+S","JavaScript View"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
